,Year,Duration_Minutes,Themes,Genres,Title,English,Rating,Source,Synopsis,Episodes,Premiered
3859,2011.0,23.0,Martial Arts  Super Power,Action,Wolverine,Wolverine,pg    teens  or older,Other,logan learns that his girlfriend  mariko yashida  who disappeared a year ago  has been taken to tokyo by her father shingen  who is the head of a japanese crime syndicate and a supplier of aim  he then decides to head to japan to find her and take her back  no matter what,12.0,Winter 2011
2960,2014.0,23.0,Mecha,Action,Shirogane no Ishi  Argevollen,Argevollen,r      violence   profanity,Original,the kingdom of arandas alliance and the countries unification of ingelmia have been at war for many years  the fortress of the great wall has remained firmly closed  but when it creaks open  the complexion of the war starts to change dramatically    a new recruit  susumu tokimune  is waiting for his first battle  he takes the lead without thinking of the possibility of being trapped  and has a fatal encounter with engineer jamie hazaford and the silver trailkrieger  argevollen    the encounter takes place in a corner of the world where fighting has become the norm  this small coincidence is going to change the future of tokimune s independent  th platoon  as well as the course of the war     source  showgate,24.0,Summer 2014
7835,2013.0,20.0,Mecha,Action,Danball Senki Wars,Unknown,g   all ages,Game,year    four years after the events in danball senki w  lbxs have become the world s largest hobby  big enough for pro leagues to be established  and people to make their entire living off being an lbx player    year old arata is a new transfer student at kamui daimon integrated academy on kamui island  near japan  known to be the most prestigious institution in the world for raising lbx players and mechanics  entrance to the academy requires an extremely competitive hurdle of being the champion of at least three official tournaments  along with other members of his platoon  they face rivals and delve into the secrets lurking within the academy     source  ann,37.0,Spring 2013
5920,2011.0,23.0,Mecha,Action,Danball Senki,LBX Little Battlers eXperience,g   all ages,Game,in    a revolutionary    shock absorbing reinforced cardboard has been developed  rapidly transforming the world s exports  the reinforced cardboard would soon become the battleground for a popular children s hobby called  lbx   little battler experience     four years later  a boy named yamano ban who loves to play with lbx  although without a mecha himself  is given a case containing the model ax   by a mysterious woman  he is told that he now holds the hopes and despairs of mankind in his hands,44.0,Spring 2011
7092,2012.0,20.0,Mecha,Action,Danball Senki W,LBX Little Battlers eXperience Season 2,g   all ages,Game,one year after the fight with the innovators  a new terrorist organization called the detectors threatens the world using lbxs  ban joins up with new and old friends to stop the detectors    source  ann,58.0,Winter 2012
817,2005.0,24.0,Mecha  Military,Action,Full Metal Panic  The Second Raid,Full Metal Panic! The Second Raid,r      violence   profanity,Light novel,after overcoming various tumultuous events  mercenary sergeant sousuke sagara of mithril and  whispered  school girl kaname chidori return to their normal high school lives  sousuke continues his efforts to assimilate with the civilian population and manage his mission at the same time  while kaname attempts to support his endeavors  even though his antics often drive her up a wall      however  as their lives calm  new problems begin to appear  the appearance of an independent terrorist organization  known as amalgam and internal conflicts within mithril threaten to wreak unity into a series of failures and betrayals  and new  powerful arm slave models only worsen the situation when the world s peace is at stake     as kaname and sousuke face their own inner battles amidst life threatening fights  will they be able to make the right choices and change their future     written by mal rewrite,13.0,Summer 2005
1925,2018.0,24.0,Mecha  Military,Action,Full Metal Panic  Invisible Victory,Full Metal Panic! Invisible Victory,r      violence   profanity,Light novel,the boisterous student kaname chidori and soldier sousuke sagara are enjoying a blissful high school life  however  their peaceful days are disrupted by the threatening terrorist organization amalgam  leonard testarossa  a member of the organization who possesses  whispered   seeks to procure kaname and her knowledge     kaname and sousuke s battle against amalgam starts right in their own neighborhood  which eventually takes them on a hunt around the world  from the exotic lands of laos to the barren mexican coast  sousuke must gather intelligence to bring down amalgam  meanwhile  kaname s abilities grow  but so does her frustration as her resolve withers  caught up in an intense game of hide and seek  as well as strategic plots  the pair try to connect and push beyond their own limits      written by mal rewrite,12.0,Spring 2018
1256,2013.0,24.0,Mecha  Military  Space,Action,Kakumeiki Valvrave,Valvrave the Liberator,r      violence   profanity,Original,in the  st year of the true era  humans have successfully expanded into space and have started living in independent galactic colonies  the world itself is split between two major nations  the atlantic rim united states  arus  and the dorssia military pact federation  dorssia  superpowers that wage war against each other on earth and far into outer space  in this war torn era  a third faction comprised of japan and islands of the oceanian republic  jior   reside peacefully and prosper economically  maintaining neutrality between themselves and their militant neighbors   kakumeiki valvrave commences in an outer space jior colony  where   year old haruto tokishima s peaceful life is turned upside down as a sudden dorssian fleet breaches the neutral colony  their objective is to seize the valvraves  powerful  but rumored mechanized weapons hidden deep within haruto s school  sakimori academy  in the ensuing chaos  haruto stumbles upon one of the targeted valvraves  with his friends  lives in peril  haruto enters the mecha and seals a contract for its power in exchange for his humanity  with the aid of l elf an enigmatic dorssian agent and gifted strategist haruto and the valvrave initiate a revolution to liberate the world     written by mal rewrite,12.0,Spring 2013
7412,2012.0,25.0,Mecha  Racing,Action,Chousoku Henkei Gyrozetter,Unknown,g   all ages,Game,in  st century japan  cars with artificial intelligence for increased safety  known as  a i  cars   have revolutionized the car industry  special schools teaching children driving a i  cars have been established  one day  kakeru todoroki  a fifth grader of arcadia academy  was summoned by the school principal and given an a i  car  to save the humanity by chosen drivers like you   the car  however  is not just a car but also a transforming robot known as  gyrozetter       source  ann,51.0,Fall 2012
5284,2017.0,24.0,Mecha  School,Action,RoboMasters the Animated Series,Unknown,pg    teens  or older,Original,the series will depict college students as they prepare and participate in a robomasters tournament     source  ann,6.0,Fall 2017
